date_releve,reference,marque,modele,finition,titre,condition,apport,energie,transmission,km,prix_mensuel,url
2026-07-17T11:52:58,ves00455766,peugeot,208-ii,100-ss-bvm6-allure,PEUGEOT 208 II 100 S&S BVM6 Allure,occasion,SANS APPORT,Essence,Manuelle,10833,283,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/208-ii/100-ss-bvm6-allure-ves00455766?apport=sans
2026-07-17T11:52:58,ves00455540,peugeot,2008-ii,100-ss-bvm6-style,PEUGEOT 2008 II 100 S&S BVM6 Style,occasion,SANS APPORT,Essence,Manuelle,8977,283,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/100-ss-bvm6-style-ves00455540?apport=sans
2026-07-17T11:52:58,ves00456695,peugeot,2008-ii,puretech-100-ss-bvm6-allure,PEUGEOT 2008 II PureTech 100 S&S BVM6 Allure,occasion,SANS APPORT,Essence,Manuelle,7171,283,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/puretech-100-ss-bvm6-allure-ves00456695?apport=sans
2026-07-17T11:52:58,ves00454596,peugeot,2008-ii,100-ss-bvm6-style,PEUGEOT 2008 II 100 S&S BVM6 Style,occasion,SANS APPORT,Essence,Manuelle,9475,283,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/100-ss-bvm6-style-ves00454596?apport=sans
2026-07-17T11:52:58,ves00456698,peugeot,2008-ii,100-ss-bvm6-style,PEUGEOT 2008 II 100 S&S BVM6 Style,occasion,SANS APPORT,Essence,Manuelle,9553,283,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/100-ss-bvm6-style-ves00456698?apport=sans
2026-07-17T11:52:58,ves00456696,peugeot,2008-ii,puretech-100-ss-bvm6-allure,PEUGEOT 2008 II PureTech 100 S&S BVM6 Allure,occasion,SANS APPORT,Essence,Manuelle,7839,283,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/puretech-100-ss-bvm6-allure-ves00456696?apport=sans
2026-07-17T11:52:58,ves00452832,peugeot,2008-ii,100-ss-bvm6-allure,PEUGEOT 2008 II 100 S&S BVM6 Allure,occasion,SANS APPORT,Essence,Manuelle,8053,283,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/100-ss-bvm6-allure-ves00452832?apport=sans
2026-07-17T11:52:58,ves00449673,opel,corsa-vi,12-turbo-100-ch-edition,OPEL Corsa VI 1.2 Turbo 100 ch Edition,occasion,SANS APPORT,Essence,Manuelle,10882,283,https://auto-dispo.cic-leasing.fr/leasing-voiture/opel/corsa-vi/12-turbo-100-ch-edition-ves00449673?apport=sans
2026-07-17T11:52:58,ves00455751,peugeot,208-ii,100-ss-bvm6-allure,PEUGEOT 208 II 100 S&S BVM6 Allure,occasion,SANS APPORT,Essence,Manuelle,11303,283,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/208-ii/100-ss-bvm6-allure-ves00455751?apport=sans
2026-07-17T11:52:58,ves00455882,peugeot,2008-ii,100-ss-bvm6-allure,PEUGEOT 2008 II 100 S&S BVM6 Allure,occasion,SANS APPORT,Essence,Manuelle,8006,284,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/100-ss-bvm6-allure-ves00455882?apport=sans
2026-07-17T11:52:58,ves00455335,peugeot,2008-ii,puretech-100-ss-bvm6-allure,PEUGEOT 2008 II PureTech 100 S&S BVM6 Allure,occasion,SANS APPORT,Essence,Manuelle,9159,284,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/puretech-100-ss-bvm6-allure-ves00455335?apport=sans
2026-07-17T11:52:58,ves00456049,peugeot,2008-ii,puretech-100-ss-bvm6-allure,PEUGEOT 2008 II PureTech 100 S&S BVM6 Allure,occasion,SANS APPORT,Essence,Manuelle,9876,284,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/puretech-100-ss-bvm6-allure-ves00456049?apport=sans
2026-07-17T11:52:58,ves00455705,peugeot,2008-ii,100-ss-bvm6-allure,PEUGEOT 2008 II 100 S&S BVM6 Allure,occasion,SANS APPORT,Essence,Manuelle,9360,284,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/100-ss-bvm6-allure-ves00455705?apport=sans
2026-07-17T11:52:58,ves00455782,peugeot,208-ii,100-ss-bvm6-allure,PEUGEOT 208 II 100 S&S BVM6 Allure,occasion,SANS APPORT,Essence,Manuelle,11065,284,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/208-ii/100-ss-bvm6-allure-ves00455782?apport=sans
2026-07-17T11:52:58,ves00455760,peugeot,208-ii,100-ss-bvm6-allure,PEUGEOT 208 II 100 S&S BVM6 Allure,occasion,SANS APPORT,Essence,Manuelle,9085,284,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/208-ii/100-ss-bvm6-allure-ves00455760?apport=sans
2026-07-17T11:52:58,ves00451532,peugeot,2008-ii,100-ss-bvm6-allure,PEUGEOT 2008 II 100 S&S BVM6 Allure,occasion,SANS APPORT,Essence,Manuelle,6975,284,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/100-ss-bvm6-allure-ves00451532?apport=sans
2026-07-17T11:52:58,ves00434143,peugeot,2008-ii,100-ss-bvm6-allure,PEUGEOT 2008 II 100 S&S BVM6 Allure,occasion,SANS APPORT,Essence,Manuelle,7444,285,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/100-ss-bvm6-allure-ves00434143?apport=sans
2026-07-17T11:52:58,ves00453828,mg,mg3,15-l-hybrid-195-ch-luxury,SANS APPORT MG MG3 1.5 L Hybrid+ 195 ch Luxury,,,Hybride,Automatique,10,285,https://auto-dispo.cic-leasing.fr/leasing-voiture/mg/mg3/15-l-hybrid-195-ch-luxury-ves00453828?apport=sans
2026-07-17T11:52:58,ves00451264,peugeot,2008-ii,100-ss-bvm6-allure,PEUGEOT 2008 II 100 S&S BVM6 Allure,occasion,SANS APPORT,Essence,Manuelle,6797,285,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/100-ss-bvm6-allure-ves00451264?apport=sans
2026-07-17T11:52:58,ves00456897,peugeot,2008-ii,100-ss-bvm6-allure,PEUGEOT 2008 II 100 S&S BVM6 Allure,occasion,SANS APPORT,Essence,Manuelle,7855,285,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/100-ss-bvm6-allure-ves00456897?apport=sans
2026-07-17T11:52:58,ves00456769,peugeot,2008-ii,100-ss-bvm6-allure,PEUGEOT 2008 II 100 S&S BVM6 Allure,occasion,SANS APPORT,Essence,Manuelle,9612,285,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/100-ss-bvm6-allure-ves00456769?apport=sans
2026-07-17T11:52:58,ves00454611,renault,clio-5,eco-g-100-ch-gsr2-techno,RENAULT Clio 5 Eco-G 100 ch GSR2 Techno,occasion,SANS APPORT,Essence,Manuelle,14649,285,https://auto-dispo.cic-leasing.fr/leasing-voiture/renault/clio-5/eco-g-100-ch-gsr2-techno-ves00454611?apport=sans
2026-07-17T11:52:58,ves00456898,peugeot,2008-ii,100-ss-bvm6-allure,PEUGEOT 2008 II 100 S&S BVM6 Allure,occasion,SANS APPORT,Essence,Manuelle,8123,285,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/100-ss-bvm6-allure-ves00456898?apport=sans
2026-07-17T11:52:58,ves00456770,peugeot,2008-ii,100-ss-bvm6-allure,PEUGEOT 2008 II 100 S&S BVM6 Allure,occasion,SANS APPORT,Essence,Manuelle,8223,285,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/100-ss-bvm6-allure-ves00456770?apport=sans
2026-07-17T11:52:58,ves00455747,peugeot,208-ii,100-ss-bvm6-allure,PEUGEOT 208 II 100 S&S BVM6 Allure,occasion,SANS APPORT,Essence,Manuelle,10956,285,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/208-ii/100-ss-bvm6-allure-ves00455747?apport=sans
2026-07-17T11:52:58,ves00456216,peugeot,2008-ii,puretech-100-ss-bvm6-allure,PEUGEOT 2008 II PureTech 100 S&S BVM6 Allure,occasion,SANS APPORT,Essence,Manuelle,7322,285,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/puretech-100-ss-bvm6-allure-ves00456216?apport=sans
2026-07-17T11:52:58,ves00455755,peugeot,208-ii,100-ss-bvm6-allure,PEUGEOT 208 II 100 S&S BVM6 Allure,occasion,SANS APPORT,Essence,Manuelle,11502,285,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/208-ii/100-ss-bvm6-allure-ves00455755?apport=sans
2026-07-17T11:52:58,ves00456899,peugeot,2008-ii,100-ss-bvm6-allure,PEUGEOT 2008 II 100 S&S BVM6 Allure,occasion,SANS APPORT,Essence,Manuelle,9152,285,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/100-ss-bvm6-allure-ves00456899?apport=sans
2026-07-17T11:52:58,ves00455750,peugeot,208-ii,100-ss-bvm6-allure,PEUGEOT 208 II 100 S&S BVM6 Allure,occasion,SANS APPORT,Essence,Manuelle,12537,285,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/208-ii/100-ss-bvm6-allure-ves00455750?apport=sans
2026-07-17T11:52:58,ves00454879,peugeot,2008-ii,puretech-100-ss-bvm6-allure,PEUGEOT 2008 II PureTech 100 S&S BVM6 Allure,occasion,SANS APPORT,Essence,Manuelle,9502,286,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/puretech-100-ss-bvm6-allure-ves00454879?apport=sans
2026-07-17T11:52:58,ves00445698,peugeot,2008-ii,100-ss-bvm6-allure,PEUGEOT 2008 II 100 S&S BVM6 Allure,occasion,SANS APPORT,Essence,Manuelle,10716,286,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/100-ss-bvm6-allure-ves00445698?apport=sans
2026-07-17T11:52:58,ves00455762,peugeot,208-ii,100-ss-bvm6-allure,PEUGEOT 208 II 100 S&S BVM6 Allure,occasion,SANS APPORT,Essence,Manuelle,12038,286,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/208-ii/100-ss-bvm6-allure-ves00455762?apport=sans
2026-07-17T11:52:58,ves00456500,peugeot,2008-ii,100-ss-bvm6-style,PEUGEOT 2008 II 100 S&S BVM6 Style,occasion,SANS APPORT,Essence,Manuelle,7230,286,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/100-ss-bvm6-style-ves00456500?apport=sans
2026-07-17T11:52:58,ves00431457,peugeot,2008-ii,100-ss-bvm6-allure,PEUGEOT 2008 II 100 S&S BVM6 Allure,occasion,SANS APPORT,Essence,Manuelle,23332,286,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/100-ss-bvm6-allure-ves00431457?apport=sans
2026-07-17T11:52:58,ves00456772,peugeot,2008-ii,100-ss-bvm6-style,PEUGEOT 2008 II 100 S&S BVM6 Style,occasion,SANS APPORT,Essence,Manuelle,7519,286,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/100-ss-bvm6-style-ves00456772?apport=sans
2026-07-17T11:52:58,ves00456499,peugeot,2008-ii,100-ss-bvm6-style,PEUGEOT 2008 II 100 S&S BVM6 Style,occasion,SANS APPORT,Essence,Manuelle,7778,286,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/100-ss-bvm6-style-ves00456499?apport=sans
2026-07-17T11:52:58,ves00455164,peugeot,2008-ii,100-ss-bvm6-style,PEUGEOT 2008 II 100 S&S BVM6 Style,occasion,SANS APPORT,Essence,Manuelle,7894,286,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/100-ss-bvm6-style-ves00455164?apport=sans
2026-07-17T11:52:58,ves00456051,peugeot,2008-ii,100-ss-bvm6-style,PEUGEOT 2008 II 100 S&S BVM6 Style,occasion,SANS APPORT,Essence,Manuelle,7931,286,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/100-ss-bvm6-style-ves00456051?apport=sans
2026-07-17T11:52:58,ves00454597,peugeot,2008-ii,100-ss-bvm6-style,PEUGEOT 2008 II 100 S&S BVM6 Style,occasion,SANS APPORT,Essence,Manuelle,13248,286,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/100-ss-bvm6-style-ves00454597?apport=sans
2026-07-17T11:52:58,ves00452838,peugeot,2008-ii,100-ss-bvm6-allure,PEUGEOT 2008 II 100 S&S BVM6 Allure,occasion,SANS APPORT,Essence,Manuelle,7168,286,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/100-ss-bvm6-allure-ves00452838?apport=sans
2026-07-17T11:52:58,ves00455975,peugeot,2008-ii,100-ss-bvm6-style,PEUGEOT 2008 II 100 S&S BVM6 Style,occasion,SANS APPORT,Essence,Manuelle,12500,287,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/100-ss-bvm6-style-ves00455975?apport=sans
2026-07-17T11:52:58,ves00456699,peugeot,2008-ii,100-ss-bvm6-style,PEUGEOT 2008 II 100 S&S BVM6 Style,occasion,SANS APPORT,Essence,Manuelle,12618,287,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/100-ss-bvm6-style-ves00456699?apport=sans
2026-07-17T11:52:58,ves00455765,peugeot,208-ii,100-ss-bvm6-allure,PEUGEOT 208 II 100 S&S BVM6 Allure,occasion,SANS APPORT,Essence,Manuelle,9494,287,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/208-ii/100-ss-bvm6-allure-ves00455765?apport=sans
2026-07-17T11:52:58,ves00455961,mg,mg3,15-l-hybrid-195-ch-comfort,SANS APPORT MG MG3 1.5 L Hybrid+ 195 ch Comfort,,,Hybride,Automatique,10,287,https://auto-dispo.cic-leasing.fr/leasing-voiture/mg/mg3/15-l-hybrid-195-ch-comfort-ves00455961?apport=sans
2026-07-17T11:52:58,ves00452031,peugeot,208-ii,100-ss-bvm6-style,PEUGEOT 208 II 100 S&S BVM6 Style,occasion,SANS APPORT,Essence,Manuelle,19981,287,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/208-ii/100-ss-bvm6-style-ves00452031?apport=sans
2026-07-17T11:52:58,ves00453420,peugeot,2008-ii,100-ss-bvm6-style,PEUGEOT 2008 II 100 S&S BVM6 Style,occasion,SANS APPORT,Essence,Manuelle,6037,288,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/100-ss-bvm6-style-ves00453420?apport=sans
2026-07-17T11:52:58,ves00455883,peugeot,2008-ii,100-ss-bvm6-style,PEUGEOT 2008 II 100 S&S BVM6 Style,occasion,SANS APPORT,Essence,Manuelle,6108,288,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/100-ss-bvm6-style-ves00455883?apport=sans
